,comment,comment_id,author_name,reply_count,like_count,date,total_reply_counts
23,Such a great video in retrospect!,Ugyt9Fn0NKOsgtVs0-d4AaABAg,Outdated Meme,0,4,2021-10-19T23:21:46Z,0
24,Coming back here after a couple years reinforces the fact that this “review” is emblematic of the laziness in the last season,UgwZFppmGxpz6zjS9QB4AaABAg,Silly Goose,0,2,2021-10-03T18:29:50Z,0
25,i would rather see joffrey rise from the dead marry sansa and sit in the iron trone than see that biiitch boy bran sit on that throne,UgzaOL1YQ-clsJjHs0V4AaABAg,thronade,0,0,2021-09-29T22:34:57Z,0
26,The Show died with Littlefinger,Ugx-InzCcvimn1Pxz3t4AaABAg,Xiagan,2,0,2021-09-27T01:43:34Z,2
27,"The only spoil I knew (I started after the series finale btw), was the red wedding. But I didn’t know who died or even when the wedding was. And people calling it that threw me off because I kept looking forward to that episode titled the red wedding so it came as a surprise when it happened. Real OHHHH moment",UgzoNGTMIaeK4OJSbgN4AaABAg,WillyBoods,0,1,2021-09-23T21:16:00Z,0
28,"8 минут обзорщик жует сопли на тему, как его все упрашивали посмотрел сериал и что он снизошел до просьб смердов и посмотрел его сразу после его завершения...
на англицком есть нормальные обзорщики, что-то типа Гоблина и Жукова?",Ugy_JN_8YgFxNqnq4-14AaABAg,Wellsigood,0,0,2021-09-18T18:23:59Z,0
29,"I know I’m extremely late to the party but I also finally watched through the show in it’s entirety for the first time over the course of about 4 months. I had in my head that I was going to be extremely upset at the at it ended because of what my friends told me but my expectations were so low i actually walked away kind of pleased because it wasn’t as bad as I expected. Yes the writing was the weakest of all the seasons and they DEFINITELY needed an extra season or two to properly explain the ending but I don’t think it was as terrible as everyone told me. Don’t get me wrong, there are tons of things I would change and I question why the writers made some of the choices they did but I don’t think it deserved the amount of backlash it got. I honestly was expecting Cerce to win so when that didn’t happen I was pleased",UgxbCqsMl7mV5NKOJYd4AaABAg,jp turchi,0,0,2021-09-14T16:21:33Z,0
30,weird i likeed the most bran,UgzBNFZFu5REpC09J_94AaABAg,Gammermonk,0,0,2021-09-11T12:28:22Z,0
31,"same here, i watch in 2 days its amazing",UgyOHi7w4PDeacheBqx4AaABAg,Gammermonk,0,0,2021-09-11T12:03:39Z,0
32,"if you read the books, and not just ASOIAF but also Dunk and Egg, them you might understand that Bran is no longer Bran but the Three Eyed Raven who is also Brynden Rivers aka Lord Bloodraven, who essentially is the most powerful character in the entire ASOIAF universe, and so was probablyy the right person to end up on the throne, but the way they did it in the show did not sell it well at all. There is something very poetic to me about an omnipotent Targaryen bastard surviving about 200 years to end up on the throne, which I understand is assuming that Bloodraven was the first three eyed raven, which is not a given at all.",UgzwrSfpnPK0c0PSCix4AaABAg,Rajaz Khan,0,0,2021-09-10T08:26:16Z,0
33,Breaking Bad and Full Metal Alchemist: Brotherhood I think are the two shows that have the most perfect storylines in all of TV.,UgzhM57HCHU3otXvKsF4AaABAg,Daniel Krawczyk,0,0,2021-09-10T06:48:12Z,0
34,"Looking back, I can't believe how similar my experience was. I watched all 7 seasons in exactly 7 days just after my final exams were over in March of 2019 just before season 8 came out in the summer.",UgyebGR-zEo5XYdsN594AaABAg,ShayKross,0,0,2021-09-03T06:16:54Z,0
35,All the suspense Which was made in previous seasons means nothing in season 8,Ugxbly-Y8MGDZt0xkXl4AaABAg,Sarvagya Mahajan,2,3,2021-09-02T20:50:19Z,2
36,"Jon got better, he is gonna colonize beyond the wall and be the king there",UgxumjT8e5a0x3pivi94AaABAg,vignesh offl,0,0,2021-09-02T04:06:42Z,0
37,"I'm not bitter like the immoral Targaryen and Lannister fans 

House stark VICTORY is the only ending .",UgzUeOzk1R6LA5bENMl4AaABAg,SP Potterstark,1,0,2021-08-29T18:34:31Z,1
38,You call few weeks being a very short time period to watch GoT? You fucking clown it takes me ONE week to watch the entire show XDDDDDDDDDDDDDDDDDD,Ugwlp-UK8rXJURSgyNd4AaABAg,Lone Varangian,0,0,2021-08-21T10:21:45Z,0
39,I think the biggest let down for me was the conclusion of the white walkers… so disappointing,UgzQabt0_TImlXTfwUl4AaABAg,constantdoodle,0,0,2021-08-17T10:45:12Z,0
40,In my opinion you gotta read the books to appreciate this more however season 5-8 were complete garbage to me when they passed the books but that's not just the writers fault it was also George RR Martin's fault.,Ugx0v29k5d7uhHlDpVd4AaABAg,Gohan,0,0,2021-08-16T02:52:49Z,0
41,100% agree with you on Bran. Cannot stand that charactor and brought nothing to the series,Ugwgb_bkp74EyIaVGAB4AaABAg,Charmaine Hosnell,3,3,2021-08-15T12:24:32Z,3
42,The writers also canceled their panel interview from fans after all the backlash. They were too scared to face the fans.,UgyMDyCqb0ku1G54PMN4AaABAg,G Vue,7,5,2021-08-13T11:17:38Z,7
43,"Your opinion is a waste of time. Sorry, bit you would not know good writing if it clubbed you in the head. You liked some of the dumbest shit. Probably a Marvel fan.",UgwNANaF2h4o5WWDb154AaABAg,denroy3,1,0,2021-08-11T02:40:07Z,1
44,Cant believe how cheaply the writers have treated us with a show that we have been emotionally attached to,UgyUdSbRxptlP6Xl7tV4AaABAg,Manofbat 23,12,0,2021-08-08T13:00:16Z,12
45,Bran told that the night king has marked his hand. So he wont be able to escape night king,UgwbxMLaOHrkUb4ryd54AaABAg,Pavan kumar,0,0,2021-08-08T05:22:51Z,0
46,"Fargo.
I suggest you start with the Movie, 
toss in a few other Coen Bros movies, 
then watch the Series.",Ugy3w79LVZvyH5HbAYJ4AaABAg,R Hughes,0,0,2021-08-07T15:30:19Z,0
47,Even 50 years later I would still beg for a reshoot and more seasons. Use new characters or ignore those who can't be redone or use deepfake on literally anyone. Just. Please.,UgwEUOdlOOXBuXY6-Lp4AaABAg,Purple Potato,1,2,2021-08-05T15:47:56Z,1
48,"You and everybody should had stop expecting anything from GOT, since the Red wedding I stoped and enjoy the show even more.",UgxPly0u42iXnmj68qV4AaABAg,Eva Audelo,0,1,2021-08-01T20:27:26Z,0
49,You could remove the Night King entirely and it wouldn't change jack shit about the resolution of the story,Ugw6PTVonlVI00QIKvd4AaABAg,Pearse MacIntyre,14,2,2021-07-30T07:09:47Z,14
50,Jon deserved to kill the Night King... Season 8 really got disappointing.,UgzQmTEb-r7TZT_lFwR4AaABAg,Divyesh Rana,9,0,2021-07-29T03:17:12Z,9
51,Dothraki 'fearless army' died like noobs,UgxnkHj3VASbpSkzLfZ4AaABAg,Maan Plays,11,0,2021-07-23T14:58:14Z,11
52,The Wire and Sopranos are better than Breaking Bad,UgxiYfjYfDbKdtKIbbF4AaABAg,Duke The Duck,0,1,2021-07-23T14:14:30Z,0
53,"I don't know why people are harping on season 8 so much. I finally watched the whole show for the first time and there was dumb shit through out the entire series: 
Sansa is an idiot 
Little finger should have killed 12 episodes in.
Sam ""My character gets reset every season"" Tarly.  
Arya ""My name Is Arya Stark and I'm going back to winterfell, but now I changed my mind off screen to go kings landing and kill the queen"" Stark.
Dragons ""It takes me massive amounts of pouring on fire to sink a ship and then all of sudden I'm laying waste to stone buildings with little effort.""
White walkers ""Takes us 8 seasons to reach the wall, but takes Jon Snow and crew 30 minutes to find us when they want to.""

That being said I watched a 76 episode show in about 3 and half weeks and really enjoyed it. What else can you ask for?",UgzIM5GuYOZiUAf9Zvt4AaABAg,Bryan Steele,6,1,2021-07-21T15:03:27Z,6
54,All through the pandemic I didn’t watch a single episode of game of thrones. It is not a rewatchable show,UgxtMZnHbKt7s0YmZTN4AaABAg,Grizzly Dave85,0,0,2021-07-20T15:55:33Z,0
55,"I really loved the show, but after watching the last season, I just can't rewatch GoT, even if I wanted to.",UgxoCkz3FPoLesv56pF4AaABAg,Norbert Klár,0,1,2021-07-16T19:31:31Z,0
56,What did you think of the Lord of Light also being an after thought? Did it really even exist at all or...?,UgxtAI02SDHJYaimvhF4AaABAg,David Madsen,1,0,2021-07-05T06:12:29Z,1
57,"In short, the writing lost the source material in most of S7 and all of S8. The writing took a dive at this point and was only really noticeable when sticking the landing. It's like having the best pilot in the world and in the best plane imaginable... then put a skateboarder in the cockpit for the last 20% of the flight. Things don't seem too bad for the last bit in the air, but on landing the beautiful plane crashes and burns on the runway.",Ugzq_mXY0r9A66YuZA14AaABAg,brandontalbort,10,0,2021-07-01T22:06:13Z,10
58,"18:15—😂caught me off guard, inconsolably laughing right now!!",UgxzaruSWX5DHsn1gk14AaABAg,HIDEORGOCHIC,0,2,2021-07-01T04:39:43Z,0
59,Season 8 review starts after 7m14s; and is a rambling disorganised effort.,UgxB7GWWB_fDlfIFjnZ4AaABAg,Carrick Richards,0,0,2021-06-29T20:36:52Z,0
60,Im tired of people saying there was no cause. Her kid and her best friend was killed. Time and time again she tried to be nice about it and cersei pushed her,UgwLtZQhwfqT5t2b5Up4AaABAg,ThisIsRiseTV,0,0,2021-06-28T11:06:07Z,0
61,Red wedding was first great hit in the heart,UgwKOlcqNTtIvuPJC5h4AaABAg,Niraj Kathayat,0,0,2021-06-22T04:53:28Z,0
62,Tyrion is the best character and has a lot of layers,UgyccZTnHxUuISmVRf54AaABAg,Niraj Kathayat,0,0,2021-06-22T04:53:02Z,0
63,Yes i agree i finished it in 5 days,Ugxy8iwlY3bYUiSQawJ4AaABAg,Niraj Kathayat,0,0,2021-06-22T04:52:07Z,0
64,"I wish they would have made armor for the dragons after learning about the scorpion cross bow.  I didn't like seeing the dragons getting shot down. 

The night king is Darth Maul.",UgwSwhYe5umHnrOCcoR4AaABAg,Alex in Oslo (and Ukraine),0,1,2021-06-13T03:52:15Z,0
65,bran was named after a bran flake. plain and flavourless,Ugxq6dVpG0ffSqvoXB54AaABAg,SgtWaffles,0,1,2021-06-12T22:36:58Z,0
66,"My head cannon is that for some reason, the show had to be ended in season 6, analogous to Rome where it had to be ended in season 2.",UgxVZ51YebwfmhIehb94AaABAg,Gregory House,0,0,2021-06-12T17:15:56Z,0
67,The whole Jaime not giving a shit about the people of Kings Landing thing was just the worst.  Dude murdered the Mad King because he wanted to burn the city.  They had to ignore a LOT of stuff to get to the places they went.  It needed at least another season to tell the story it told.,UgyHxlvbM0djH6H2fZJ4AaABAg,DG101,0,1,2021-06-12T04:00:52Z,0
68,It made too many set up through out the show that it can't handle all the pay off in just one season. They shouldn't end in just 8 seasons.,UgzYmJuiOnRvMaLbAf54AaABAg,Se'Pya Sait,0,1,2021-06-10T11:11:24Z,0
